ALASKA JUNCTION,W1,9
ALASKA JUNCTION,W2,1095
ALKI,W1,198
ALKI,W2,54
BALLARD NORTH,J1,409
BALLARD NORTH,J2,991
BALLARD NORTH,N1,85
BALLARD SOUTH,B1,1690
BALLARD SOUTH,B2,793
BELLTOWN,D1,1199
BELLTOWN,M1,483
BITTERLAKE,N1,733
BITTERLAKE,N2,431
BITTERLAKE,N3,50
BRIGHTON/DUNLAP,S2,683
CAPITOL HILL,C1,580
CAPITOL HILL,E1,1482
CAPITOL HILL,E2,1436
CAPITOL HILL,E3,388
CENTRAL AREA/SQUIRE PARK,C1,113
CENTRAL AREA/SQUIRE PARK,C2,189
CENTRAL AREA/SQUIRE PARK,C3,588
CENTRAL AREA/SQUIRE PARK,G2,482
CHINATOWN/INTERNATIONAL DISTRICT,K2,144
CHINATOWN/INTERNATIONAL DISTRICT,K3,2112
CLAREMONT/RAINIER VISTA,R2,331
COLUMBIA CITY,R3,377
COMMERCIAL DUWAMISH,F1,18
COMMERCIAL DUWAMISH,W1,30
COMMERCIAL HARBOR ISLAND,W1,32
DOWNTOWN COMMERCIAL,K1,1201
DOWNTOWN COMMERCIAL,K2,405
DOWNTOWN COMMERCIAL,K3,94
DOWNTOWN COMMERCIAL,M1,1392
DOWNTOWN COMMERCIAL,M2,1247
DOWNTOWN COMMERCIAL,M3,1928
EASTLAKE - EAST,C1,82
EASTLAKE - WEST,D3,322
FAUNTLEROY SW,W3,317
FIRST HILL,E2,182
FIRST HILL,E3,906
FIRST HILL,G1,653
FIRST HILL,G2,56
FREMONT,B2,1151
FREMONT,B3,526
GENESEE,R3,146
GEORGETOWN,O2,302
GEORGETOWN,O3,635
GREENWOOD,J1,601
GREENWOOD,J2,161
GREENWOOD,J3,279
GREENWOOD,N1,103
GREENWOOD,N3,279
HIGH POINT,F1,344
HIGH POINT,W2,31
HIGH POINT,W3,40
HIGHLAND PARK,F1,67
HIGHLAND PARK,F2,142
HIGHLAND PARK,F3,586
HILLMAN CITY,R3,219
JUDKINS PARK/NORTH BEACON HILL,G1,19
JUDKINS PARK/NORTH BEACON HILL,G2,182
JUDKINS PARK/NORTH BEACON HILL,G3,422
LAKECITY,L1,705
LAKECITY,L2,57
LAKECITY,L3,949
LAKEWOOD/SEWARD PARK,R3,286
MADISON PARK,C2,117
MADISON PARK,C3,62
MADRONA/LESCHI,C3,148
MADRONA/LESCHI,G2,113
MADRONA/LESCHI,G3,451
MAGNOLIA,Q1,1136
MID BEACON HILL,O3,82
MID BEACON HILL,R1,249
MID BEACON HILL,S1,257
MILLER PARK,C1,156
MILLER PARK,C2,247
MONTLAKE/PORTAGE BAY,C1,125
MONTLAKE/PORTAGE BAY,C2,275
MORGAN,W2,134
MORGAN,W3,454
MOUNT BAKER,R2,1069
NEW HOLLY,S1,292
NORTH ADMIRAL,W1,592
NORTH ADMIRAL,W2,46
NORTH BEACON HILL,R1,869
NORTH BEACON HILL,R2,199
NORTH DELRIDGE,F1,264
NORTH DELRIDGE,W1,126
NORTH DELRIDGE,W2,56
NORTHGATE,L1,342
NORTHGATE,L2,1534
NORTHGATE,N2,921
NORTHGATE,N3,1074
PHINNEY RIDGE,B2,259
PHINNEY RIDGE,B3,19
PHINNEY RIDGE,J2,148
PHINNEY RIDGE,J3,150
PIGEON POINT,F1,80
PIONEER SQUARE,K2,774
PIONEER SQUARE,K3,264
QUEEN ANNE,D2,597
QUEEN ANNE,Q1,12
QUEEN ANNE,Q2,1550
QUEEN ANNE,Q3,1382
RAINIER BEACH,S2,153
RAINIER BEACH,S3,506
RAINIER VIEW,S3,582
ROOSEVELT/RAVENNA,J3,998
ROOSEVELT/RAVENNA,L2,126
ROOSEVELT/RAVENNA,U1,786
ROOSEVELT/RAVENNA,U3,744
ROXHILL/WESTWOOD/ARBOR HEIGHTS,F2,818
ROXHILL/WESTWOOD/ARBOR HEIGHTS,W3,203
SANDPOINT,L3,180
SANDPOINT,U1,54
SANDPOINT,U3,987
SLU/CASCADE,D1,291
SLU/CASCADE,D2,814
SLU/CASCADE,D3,868
SLU/CASCADE,K2,1
SLU/CASCADE,M2,459
SLU/CASCADE,Q3,370
SODO,O1,1224
SODO,O2,362
SOUTH BEACON HILL,O3,13
SOUTH BEACON HILL,S1,231
SOUTH DELRIDGE,F2,238
SOUTH DELRIDGE,F3,58
SOUTH PARK,F1,66
SOUTH PARK,F3,497
UNIVERSITY,U1,977
UNIVERSITY,U2,1718
UNIVERSITY,U3,31
WALLINGFORD,B3,1221
WALLINGFORD,J3,19
